Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,home_rest_days_fixed,away_rest_days_fixed,rest_days_diff_fixed,home_matches_7days,away_matches_7days,home_form_3_fixed,away_form_3_fixed,form_diff_3_fixed,home_non_epl_load_7days_fixed,away_non_epl_load_7days_fixed,load_diff_7days_fixed,home_shot_accuracy,away_shot_accuracy
2015-10-17,Crystal Palace,West Ham,1,3,A,1,1,D,M Clattenburg,6,24,1,4,9,11,1,9,1,3,1,0,2015-2016,14,14,0,0,0,3.0,1.0,2.0,0,0,0,0.14285714285714285,0.16
2015-10-17,Everton,Man United,0,3,A,0,2,A,J Moss,12,10,3,7,12,14,5,3,2,2,0,0,2015-2016,13,13,0,0,0,1.6666666666666667,1.0,0.6666666666666667,0,0,0,0.23076923076923078,0.6363636363636364
2015-10-17,Man City,Bournemouth,5,1,H,4,1,H,M Dean,15,5,11,1,11,5,1,7,2,1,0,0,2015-2016,14,14,0,0,0,3.0,0.6666666666666666,2.3333333333333335,0,0,0,0.6875,0.16666666666666666
2015-10-17,Southampton,Leicester,2,2,D,2,0,H,P Tierney,14,26,6,7,16,10,6,7,2,0,0,0,2015-2016,14,14,0,0,0,3.0,2.0,1.0,0,0,0,0.4,0.25925925925925924
2015-10-17,Tottenham,Liverpool,0,0,D,0,0,D,C Pawson,13,12,4,3,15,11,8,6,1,2,0,0,2015-2016,13,13,0,0,0,1.0,1.0,0.0,0,0,0,0.2857142857142857,0.23076923076923078
2015-10-17,Watford,Arsenal,0,3,A,0,0,D,M Jones,8,17,1,6,11,12,3,9,2,1,0,0,2015-2016,14,13,1,0,0,0.6666666666666666,2.0,-1.3333333333333335,0,0,0,0.1111111111111111,0.3333333333333333
2015-10-17,West Brom,Sunderland,1,0,H,0,0,D,M Atkinson,8,9,1,2,12,13,1,5,2,2,0,0,2015-2016,14,14,0,0,0,0.0,0.6666666666666666,-0.6666666666666666,0,0,0,0.1111111111111111,0.2
2015-10-18,Newcastle,Norwich,6,2,H,3,2,H,A Taylor,11,18,6,6,10,10,3,7,1,1,0,0,2015-2016,15,15,0,0,0,0.3333333333333333,0.3333333333333333,0.0,0,0,0,0.5,0.3157894736842105
2015-10-19,Swansea,Stoke,0,1,A,0,1,A,R Madley,14,9,2,2,6,14,1,2,2,2,0,0,2015-2016,15,16,-1,0,0,0.6666666666666666,3.0,-2.3333333333333335,0,0,0,0.13333333333333333,0.2
2015-10-24,Arsenal,Everton,2,1,H,2,1,H,L Mason,20,10,5,5,11,14,7,5,2,0,0,1,2015-2016,4,7,-3,3,2,3.0,0.3333333333333333,2.6666666666666665,2,1,1,0.23809523809523808,0.45454545454545453
2015-10-24,Aston Villa,Swansea,1,2,A,0,0,D,N Swarbrick,9,11,3,4,10,8,4,6,2,3,0,0,2015-2016,7,5,2,2,2,0.0,0.3333333333333333,-0.3333333333333333,1,1,0,0.3,0.3333333333333333
2015-10-24,Leicester,Crystal Palace,1,0,H,0,0,D,M Dean,12,9,3,4,7,11,3,2,3,1,0,0,2015-2016,7,7,0,2,2,1.6666666666666667,1.0,0.6666666666666667,1,1,0,0.23076923076923078,0.4
2015-10-24,Norwich,West Brom,0,1,A,0,0,D,K Friend,16,7,3,4,11,6,13,3,1,2,0,0,2015-2016,6,7,-1,2,2,0.0,2.0,-2.0,1,1,0,0.17647058823529413,0.5
2015-10-24,Stoke,Watford,0,2,A,0,1,A,M Atkinson,12,13,1,3,10,18,11,5,3,1,0,0,2015-2016,5,7,-2,2,2,3.0,0.3333333333333333,2.6666666666666665,1,1,0,0.07692307692307693,0.21428571428571427
2015-10-24,West Ham,Chelsea,2,1,H,1,0,H,J Moss,12,8,5,4,10,12,7,4,1,5,0,1,2015-2016,7,4,3,2,3,2.3333333333333335,2.3333333333333335,0.0,1,2,-1,0.38461538461538464,0.4444444444444444
2015-10-25,Bournemouth,Tottenham,1,5,A,1,3,A,R East,11,14,3,9,8,15,4,5,0,1,0,0,2015-2016,8,3,5,0,1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0,1,-1,0.25,0.6
2015-10-25,Liverpool,Southampton,1,1,D,0,0,D,A Marriner,15,8,2,3,8,11,10,7,1,0,0,1,2015-2016,3,8,-5,1,0,1.0,1.6666666666666667,-0.6666666666666667,1,0,1,0.125,0.3333333333333333
